speech_id,inflation_attention_h,inflation_attention_flag,inflation_outlook_h,inflation_outlook_flag,growth_attention_h,growth_attention_flag,growth_outlook_h,growth_outlook_flag,financial_stability_attention_h,financial_stability_attention_flag,uncertainty_attention_h,uncertainty_attention_flag
ecb_0176,1,agree,0,agree,1,agree,0,agree,0,agree,1,agree
ecb_0388,0,agree,0,agree,1,agree,0,error,1,agree,0,agree
ecb_0411,1,agree,0,agree,0,agree,0,agree,0,agree,0,agree
ecb_0412,0,borderline,0,agree,0,agree,0,agree,0,agree,0,agree
ecb_0528,0,agree,0,agree,0,agree,0,agree,1,agree,1,agree
ecb_0611,0,borderline,0,agree,0,agree,0,agree,0,agree,1,agree
ecb_0966,0,agree,0,agree,1,agree,-1,agree,1,agree,1,agree
ecb_1094,1,agree,0,agree,1,agree,-1,agree,1,agree,1,agree
ecb_1107,0,agree,0,agree,0,agree,0,agree,1,agree,1,agree
ecb_1229,0,error,0,error,1,agree,-1,agree,1,agree,1,agree
ecb_1322,0,agree,0,agree,1,agree,-1,agree,1,agree,1,agree
ecb_1433,0,agree,0,agree,1,agree,-1,agree,1,agree,1,agree
ecb_1458,0,agree,0,agree,0,borderline,0,error,1,agree,0,agree
ecb_1633,0,agree,0,agree,0,agree,0,agree,1,agree,0,agree
ecb_1643,1,agree,-1,agree,1,agree,0,agree,1,agree,1,agree
ecb_1685,0,agree,0,agree,0,agree,0,agree,1,agree,1,agree
ecb_1741,0,agree,0,agree,0,agree,0,agree,0,agree,0,agree
ecb_1859,0,agree,0,agree,1,agree,0,agree,1,agree,0,agree
ecb_1897,0,agree,0,agree,0,borderline,0,agree,1,agree,1,agree
ecb_1912,0,agree,0,agree,0,agree,0,agree,1,agree,1,agree
ecb_1954,0,agree,0,agree,0,agree,0,agree,1,agree,0,agree
ecb_1963,0,agree,0,agree,1,agree,0,error,0,agree,0,agree
ecb_2109,1,agree,1,agree,1,agree,1,agree,0,agree,1,agree
ecb_2134,1,agree,0,error,1,agree,1,agree,0,agree,1,agree
ecb_2138,1,agree,1,agree,1,agree,1,agree,0,agree,0,agree
ecb_2309,0,agree,0,agree,0,agree,0,agree,1,agree,1,agree
ecb_2313,1,agree,-1,agree,1,agree,-1,agree,1,agree,1,agree
ecb_2649,1,agree,0,agree,1,agree,-1,agree,1,agree,1,agree
ecb_2682,0,agree,0,agree,0,agree,0,agree,0,agree,0,agree
ecb_2743,1,agree,0,agree,1,agree,-1,agree,0,agree,1,agree
