speech_id,date,speaker,borderline_vars,notes,inflation_attention,inflation_outlook,growth_attention,growth_outlook,financial_stability_attention,uncertainty_attention
ecb_1024,2009-07-13,Jean-Claude Trichet,growth_outlook,Near-term contraction but explicit gradual recovery by mid-2010; medium-term direction coded recovery.,1,-1,1,1,1,1
ecb_2117,2018-06-06,Peter Praet,,Inflation convergence and underlying expansion are substantively discussed; crisis uncertainty references are mainly historical/routine.,1,1,1,1,1,0
ecb_0893,2008-07-02,Gertrude Tumpel-Gugerell,,"Payments/cards speech; macro references are illustrative, not developed analysis.",0,0,0,0,0,0
ecb_2678,2024-11-19,Frank Elderson,inflation_attention;growth_attention,Nature is central; inflation/growth are consequences/examples rather than developed objects. Nature-related financial risks and high uncertainty are substantive.,0,0,0,0,1,1
ecb_0292,2002-07-02,Willem F. Duisenberg,inflation_outlook,Recovery and medium-term price risks are developed; exceptional post-9/11 uncertainty is emphasized.,1,1,1,1,0,1
ecb_0507,2005-03-10,Jean-Claude Trichet,financial_stability_attention,"Financial integration is central and stability implications are developed; inflation/growth references are mechanisms/benefits, not outlooks.",0,0,0,0,1,0
ecb_0597,2006-03-16,Otmar Issing,,Historical/conceptual monetary-policy remarks; no substantive current inflation/growth/stability outlook and uncertainty is generic policy uncertainty.,0,0,0,0,0,0
ecb_1657,2014-09-22,Mario Draghi,growth_outlook,"Inflation expected low then gradual increase. Growth signals mix support with weak credit/high unemployment, so neutral outlook.",1,1,1,0,0,0
ecb_0120,2000-03-23,Christian Noyer,growth_attention,Developed conceptual treatment of price stability and output/activity indicators; no baseline directional outlook.,1,0,1,0,0,0
ecb_1372,2012-05-10,Peter Praet,inflation_outlook,Crisis-management speech with substantive stability and activity discussion; current activity/credit demand subdued. Inflation direction not clearly dominant.,1,0,1,-1,1,0
ecb_1881,2016-10-06,Peter Praet,financial_stability_attention,Transmission speech; financial-system discussion is about transmission rather than systemic stability. Recovery/employment direction is positive.,1,0,1,1,0,0
ecb_2069,2018-02-01,Peter Praet,,Strong expansion and strengthening inflation pressures/convergence are explicit.,1,1,1,1,0,0
ecb_0454,2004-09-28,Otmar Issing,,"Conceptual discussion of policy interactions, wages, price stability and growth; mechanisms rather than a directional baseline outlook.",1,0,1,0,0,0
ecb_1504,2013-06-03,Benoît Cœuré,growth_attention,International risk-sharing/global liquidity speech; activity is developed conceptually but no forward growth baseline. Stability references do not meet systemic-attention threshold.,0,0,1,0,0,0
ecb_2427,2021-10-20,Frank Elderson,,Climate-risk disclosure/supervision discussion materially addresses risks to the financial system; no macro outlook.,0,0,0,0,1,0
ecb_1794,2015-11-22,Vítor Constâncio,,Memorial/European-project speech; no substantive coded macro construct.,0,0,0,0,0,0
ecb_2314,2020-06-10,Luis de Guindos,inflation_outlook,Pandemic outlook: inflation remains very low and activity collapses before rebound; unprecedented macro uncertainty and financial-stability risks are central.,1,-1,1,-1,1,1
ecb_1243,2011-04-12,Jürgen Stark,financial_stability_attention,"Conceptual crisis/central-banking discussion. Inflation/output forecasts are discussed as framework variables, not a specific baseline direction; stability concerns are substantive.",1,0,1,0,1,0
ecb_1597,2014-02-18,Peter Praet,inflation_attention,Growth/reforms and crisis fragmentation are central; recovery is forward-looking. Price-stability references are secondary.,0,0,1,1,1,0
ecb_1323,2011-11-08,Jürgen Stark,growth_outlook,Debt-crisis speech: systemic financial risk and inflation pressures are developed; growth discussion mixes crisis weakness and structural prospects.,1,1,1,0,1,0
ecb_1010,2009-06-12,Jean-Claude Trichet,,Anniversary/institutional speech; macro and banking references are passing.,0,0,0,0,0,0
ecb_1903,2016-11-17,Yves Mersch,uncertainty_attention,"Recovery, falling unemployment and reduced deflation risk imply improving growth and inflation direction; great uncertainty is explicitly policy-relevant.",1,1,1,1,0,1
ecb_2451,2022-01-11,Christine Lagarde,inflation_outlook,"Price stability/inflation is substantive in the remarks; commitment and current inflation challenge imply upward inflation emphasis, though the format is brief.",1,1,0,0,0,0
ecb_0199,2001-04-04,Willem F. Duisenberg,,New-economy/banking speech includes developed macro discussion; global uncertainty is emphasized. Directional evidence is mixed/insufficient.,1,0,1,0,0,1
ecb_0996,2009-05-14,Lucas Papademos,inflation_outlook;growth_outlook,Great-crisis analysis: financial-system stress is central; activity and inflation pressures deteriorate. Uncertainty around transmission under stress is material.,1,-1,1,-1,1,1
ecb_2223,2019-05-27,Benoît Cœuré,,Payments speech; standard-setting/financial references do not constitute systemic stability analysis.,0,0,0,0,0,0
ecb_1330,2011-11-23,Vítor Constâncio,growth_outlook,International monetary system speech develops global growth imbalances and systemic stability; no clear expected growth trajectory.,0,0,1,0,1,0
ecb_0531,2005-06-03,Otmar Issing,uncertainty_attention,Monetary-pillar speech develops inflation and activity indicators conceptually; no specific baseline direction. Methodological uncertainty is substantial but below v4 uncertainty threshold.,1,0,1,0,0,0
ecb_0871,2008-05-15,Lucas Papademos,,Macroeconomic/monetary-policy discussion gives a clear forward recovery and inflation normalization direction.,1,1,1,1,0,0
ecb_1022,2009-07-06,Gertrude Tumpel-Gugerell,,Crisis-era speech: weak activity/disinflationary pressures and financial stress are substantive; unusually high uncertainty is emphasized.,1,-1,1,-1,1,1
ecb_2277,2019-11-28,Philip R. Lane,,"Pandemic/crisis speech: downside macro trajectory, financial vulnerabilities and exceptional uncertainty are substantively developed.",1,-1,1,-1,1,1
ecb_1070,2009-12-07,Jean-Claude Trichet,,Substantive macro outlook with recovery and inflationary/normalization emphasis; no developed systemic-stability section.,1,1,1,1,0,0
ecb_2053,2017-11-17,Mario Draghi,,Euro-area expansion and inflation convergence are substantively discussed with positive forward direction.,1,1,1,1,0,0
ecb_1894,2016-11-04,Vítor Constâncio,uncertainty_attention,Framework-design speech develops inflation/growth and financial-stability issues conceptually; hypothetical mechanisms are not coded as outlook. Uncertainties concern framework implementation rather than economic-outlook uncertainty.,1,0,1,0,1,0
ecb_2144,2018-10-05,Luis de Guindos,growth_attention,"EMU resilience/institutional reform speech: growth and financial-system resilience are developed, but claims are structural mechanisms rather than a baseline outlook.",0,0,1,0,1,0
ecb_0172,2000-11-22,Christian Noyer,,"EU enlargement/institutional speech; GDP/growth references are scale or policy examples, not developed macro analysis.",0,0,0,0,0,0
ecb_2299,2020-02-26,Fabio Panetta,uncertainty_attention,Central clearing/CCP risk-management speech substantively concerns financial-system resilience. Technical risk/uncertainty is excluded from uncertainty attention by v4.,0,0,0,0,1,0
