period,n_speeches,n_speakers,is_sparse,mean_log_words,share_truncated,att_pi,att_y,att_fs,att_unc,att_pi_corr,att_y_corr,att_fs_corr,att_unc_corr,vol_pi,vol_y,vol_fs,vol_unc,out_pi,disp_pi,polar_pi,share_up_pi,share_down_pi,out_y,disp_y,polar_y,share_up_y,share_down_y
1999,105.0,6.0,False,8.146198905334602,0.8666666666666667,0.8666666666666667,0.8571428571428571,0.3142857142857143,0.3619047619047619,0.8431372549019607,0.8333333333333331,0.3142857142857143,0.3619047619047619,91.0,90.0,33.0,38.0,-0.10989010989010989,0.4819070784232498,0.5454545454545454,0.06593406593406594,0.17582417582417584,0.4111111111111111,0.5976441473330498,0.2127659574468085,0.4666666666666667,0.05555555555555555
2000,72.0,6.0,False,8.130730215712118,0.8888888888888888,0.7916666666666666,0.7777777777777778,0.2638888888888889,0.4305555555555556,0.7549019607843136,0.7407407407407407,0.2638888888888889,0.4305555555555556,57.0,56.0,19.0,31.0,0.19298245614035087,0.580596875490709,0.47619047619047616,0.2807017543859649,0.08771929824561403,0.5535714285714286,0.6301411921767391,0.20512820512820512,0.625,0.07142857142857142
2001,73.0,6.0,False,7.9511395655005215,0.7808219178082192,0.6575342465753424,0.6986301369863014,0.3424657534246575,0.3287671232876712,0.5970991136180498,0.6484018264840182,0.3424657534246575,0.3287671232876712,48.0,51.0,25.0,24.0,-0.3958333333333333,0.6098337175989594,0.24,0.0625,0.4583333333333333,0.27450980392156865,0.7766191182954233,0.5882352941176471,0.47058823529411764,0.19607843137254902
2002,66.0,6.0,False,7.944429896737488,0.7424242424242424,0.696969696969697,0.7727272727272727,0.5454545454545454,0.48484848484848486,0.6434937611408199,0.7348484848484848,0.5454545454545454,0.48484848484848486,46.0,51.0,36.0,32.0,-0.21739130434782608,0.5542980938191959,0.375,0.06521739130434782,0.2826086956521739,0.5098039215686274,0.5787071459592612,0.13333333333333333,0.5490196078431373,0.0392156862745098
2003,71.0,8.0,False,7.965654748260523,0.7605633802816901,0.647887323943662,0.8732394366197183,0.4647887323943662,0.4225352112676056,0.5857497928748964,0.8521126760563379,0.4647887323943662,0.4225352112676056,46.0,62.0,33.0,30.0,-0.2608695652173913,0.4914731871829904,0.14285714285714285,0.021739130434782608,0.2826086956521739,0.3064516129032258,0.6674814340739533,0.42424242424242425,0.41935483870967744,0.11290322580645161
2004,101.0,7.0,False,7.910063580976927,0.7623762376237624,0.6831683168316832,0.8514851485148515,0.49504950495049505,0.40594059405940597,0.627256843331392,0.8267326732673266,0.49504950495049505,0.40594059405940597,69.0,86.0,50.0,41.0,-0.028985507246376812,0.5680465622162453,0.9090909090909091,0.14492753623188406,0.17391304347826086,0.5,0.5891169862849074,0.1568627450980392,0.5465116279069767,0.046511627906976744
2005,91.0,6.0,False,8.041577028764758,0.8131868131868132,0.6043956043956044,0.8571428571428571,0.5494505494505495,0.45054945054945056,0.5345830639948286,0.8333333333333331,0.5494505494505495,0.45054945054945056,55.0,78.0,50.0,41.0,0.2727272727272727,0.4889348004153918,0.11764705882352941,0.2909090909090909,0.01818181818181818,0.3333333333333333,0.7501803534954529,0.5,0.5,0.16666666666666666
2006,102.0,7.0,False,8.071036871901635,0.8431372549019608,0.5784313725490197,0.8235294117647058,0.5196078431372549,0.45098039215686275,0.5040369088811996,0.7941176470588234,0.5196078431372549,0.45098039215686275,59.0,84.0,53.0,46.0,0.3728813559322034,0.5842267239618821,0.21428571428571427,0.423728813559322,0.05084745762711865,0.40476190476190477,0.6422672119478902,0.2916666666666667,0.4880952380952381,0.08333333333333333
2007,125.0,6.0,False,8.057533130979431,0.832,0.512,0.792,0.568,0.488,0.42588235294117643,0.7573333333333333,0.568,0.488,64.0,99.0,71.0,61.0,0.265625,0.6234106776562887,0.41379310344827586,0.359375,0.09375,0.494949494949495,0.5954545061142649,0.1694915254237288,0.5454545454545454,0.050505050505050504
2008,141.0,6.0,False,7.964737597680203,0.7588652482269503,0.574468085106383,0.8014184397163121,0.7375886524822695,0.6099290780141844,0.49937421777221525,0.768321513002364,0.7375886524822695,0.6099290780141844,81.0,113.0,104.0,86.0,0.19753086419753085,0.6785969548712208,0.6,0.345679012345679,0.14814814814814814,-0.08849557522123894,0.7968411085105922,0.8611111111111112,0.2743362831858407,0.36283185840707965
2009,118.0,6.0,False,7.9712541270488275,0.7796610169491526,0.5677966101694916,0.8135593220338984,0.8813559322033898,0.7457627118644068,0.4915254237288135,0.7824858757062146,0.8813559322033898,0.7457627118644068,67.0,96.0,104.0,88.0,-0.29850746268656714,0.651686050392977,0.4117647058823529,0.1044776119402985,0.40298507462686567,-0.041666666666666664,0.8695633104479471,0.9444444444444444,0.3541666666666667,0.3958333333333333
2010,127.0,7.0,False,7.865425012976538,0.7322834645669292,0.5354330708661418,0.8188976377952756,0.889763779527559,0.5905511811023622,0.4534506716072256,0.7887139107611547,0.889763779527559,0.5905511811023622,68.0,104.0,113.0,75.0,-0.029411764705882353,0.4561548648814876,0.8571428571428571,0.08823529411764706,0.11764705882352941,-0.028846153846153848,0.8179625501104081,0.9565217391304348,0.3173076923076923,0.34615384615384615
2011,132.0,8.0,False,7.916930987632413,0.7424242424242424,0.6363636363636364,0.9015151515151515,0.9393939393939394,0.5984848484848485,0.5721925133689839,0.8851010101010099,0.9393939393939394,0.5984848484848485,84.0,119.0,124.0,79.0,0.16666666666666666,0.6555294619633873,0.631578947368421,0.30952380952380953,0.14285714285714285,-0.12605042016806722,0.8083737792183688,0.810126582278481,0.2689075630252101,0.3949579831932773
2012,102.0,6.0,False,7.8937608316160075,0.7156862745098039,0.49019607843137253,0.7941176470588235,0.9607843137254902,0.5098039215686274,0.40023068050749705,0.7598039215686273,0.9607843137254902,0.5098039215686274,50.0,81.0,98.0,52.0,-0.34,0.5573259772323188,0.19047619047619047,0.04,0.38,-0.012345679012345678,0.8440057339925753,0.9824561403508771,0.345679012345679,0.35802469135802467
2013,137.0,6.0,False,7.781920573255181,0.7299270072992701,0.49635036496350365,0.8613138686131386,0.9708029197080292,0.49635036496350365,0.40747101760412185,0.8381995133819949,0.9708029197080292,0.49635036496350365,68.0,118.0,133.0,68.0,-0.4411764705882353,0.6079658508962604,0.21052631578947367,0.058823529411764705,0.5,0.2711864406779661,0.7807624692048453,0.6,0.4745762711864407,0.2033898305084746
2014,105.0,6.0,False,7.879665568302237,0.780952380952381,0.638095238095238,0.8571428571428571,0.9619047619047619,0.580952380952381,0.5742296918767505,0.8333333333333331,0.9619047619047619,0.580952380952381,67.0,90.0,101.0,61.0,-0.1791044776119403,0.8334916177129972,0.75,0.26865671641791045,0.44776119402985076,0.08888888888888889,0.8564946124894601,0.8787878787878788,0.4111111111111111,0.32222222222222224
2015,99.0,6.0,False,7.823769161079823,0.6464646464646465,0.5757575757575758,0.7878787878787878,0.8181818181818182,0.45454545454545453,0.5008912655971479,0.7525252525252524,0.8181818181818182,0.45454545454545453,57.0,78.0,81.0,45.0,0.017543859649122806,0.9159543826401477,0.9787234042553191,0.42105263157894735,0.40350877192982454,0.23076923076923078,0.8516306272526402,0.7,0.5,0.2692307692307692
2016,109.0,6.0,False,7.755337659968601,0.6055045871559633,0.5871559633027523,0.8348623853211009,0.8807339449541285,0.6238532110091743,0.5143011332973556,0.8073394495412842,0.8807339449541285,0.6238532110091743,64.0,91.0,96.0,68.0,0.0,0.9085135251589959,1.0,0.40625,0.40625,0.10989010989010989,0.8491898027669202,0.8484848484848485,0.4175824175824176,0.3076923076923077
2017,141.0,6.0,False,7.680868324954919,0.574468085106383,0.524822695035461,0.7375886524822695,0.7446808510638298,0.524822695035461,0.44096787651230696,0.6938534278959809,0.7446808510638298,0.524822695035461,74.0,104.0,105.0,74.0,0.1891891891891892,0.7526332890769122,0.6818181818181818,0.3918918918918919,0.20270270270270271,0.6634615384615384,0.6326178760888161,0.20689655172413793,0.75,0.08653846153846154
2018,112.0,7.0,False,7.766226665133113,0.6339285714285714,0.5267857142857143,0.7321428571428571,0.8125,0.6517857142857143,0.44327731092436967,0.6874999999999999,0.8125,0.6517857142857143,59.0,82.0,91.0,73.0,0.423728813559322,0.6998371690050349,0.358974358974359,0.5423728813559322,0.11864406779661017,0.3170731707317073,0.81465055419127,0.5806451612903226,0.5365853658536586,0.21951219512195122
2019,106.0,8.0,False,7.69929259357927,0.5188679245283019,0.49056603773584906,0.7452830188679245,0.7264150943396226,0.6132075471698113,0.4006659267480576,0.7028301886792451,0.7264150943396226,0.6132075471698113,52.0,79.0,77.0,65.0,-0.23076923076923078,0.7307096903584286,0.6,0.17307692307692307,0.40384615384615385,-0.3670886075949367,0.787355443628949,0.5084745762711864,0.189873417721519,0.5569620253164557
2020,82.0,6.0,False,7.749003820483957,0.6097560975609756,0.5975609756097561,0.8658536585365854,0.8292682926829268,0.7439024390243902,0.5265423242467717,0.8434959349593495,0.8292682926829268,0.7439024390243902,49.0,71.0,68.0,61.0,-0.4489795918367347,0.8180572639337848,0.47619047619047616,0.20408163265306123,0.6530612244897959,-0.2112676056338028,0.8091528719724894,0.6938775510204082,0.23943661971830985,0.4507042253521127
2021,83.0,6.0,False,7.789661345057566,0.6385542168674698,0.5421686746987951,0.8313253012048193,0.7469879518072289,0.6385542168674698,0.46137491141034714,0.8032128514056224,0.7469879518072289,0.6385542168674698,45.0,69.0,62.0,53.0,-0.5111111111111111,0.5886124756277652,0.14814814814814814,0.044444444444444446,0.5555555555555556,0.07246376811594203,0.8457304635936312,0.8979591836734694,0.391304347826087,0.3188405797101449
2022,82.0,6.0,False,7.849396128922503,0.6707317073170732,0.7073170731707317,0.7682926829268293,0.6951219512195121,0.7560975609756098,0.655667144906743,0.7296747967479674,0.6951219512195121,0.7560975609756098,58.0,63.0,57.0,62.0,0.43103448275862066,0.7971895582435427,0.46808510638297873,0.6206896551724138,0.1896551724137931,-0.4126984126984127,0.7958545951430722,0.48,0.19047619047619047,0.6031746031746031
2023,76.0,6.0,False,7.831928040433774,0.6052631578947368,0.7236842105263158,0.8026315789473685,0.6973684210526315,0.7105263157894737,0.674922600619195,0.769736842105263,0.6973684210526315,0.7105263157894737,55.0,61.0,53.0,54.0,-0.38181818181818183,0.7815205760403311,0.4878048780487805,0.18181818181818182,0.5636363636363636,-0.29508196721311475,0.760356545643379,0.55,0.18032786885245902,0.47540983606557374
2024,77.0,6.0,False,7.977642417614273,0.6883116883116883,0.6883116883116883,0.8701298701298701,0.6233766233766234,0.7272727272727273,0.6333078686019862,0.8484848484848483,0.6233766233766234,0.7272727272727273,53.0,67.0,48.0,56.0,-0.5471698113207547,0.6374841698139846,0.21621621621621623,0.07547169811320754,0.6226415094339622,0.0,0.778498944161523,1.0,0.29850746268656714,0.29850746268656714
2025,82.0,6.0,False,7.851415651357073,0.6341463414634146,0.5121951219512195,0.8048780487804879,0.6585365853658537,0.6707317073170732,0.42611190817790523,0.7723577235772358,0.6585365853658537,0.6707317073170732,42.0,66.0,54.0,55.0,-0.16666666666666666,0.5808600295972687,0.5333333333333333,0.09523809523809523,0.2619047619047619,-0.030303030303030304,0.8032567741522291,0.9523809523809523,0.30303030303030304,0.3333333333333333
