measure,label,mean,sd,min,max
n_speeches,Speeches per quarter,25.15740740740741,8.70080245202151,8.0,51.0
att_pi,Inflation attention,0.6109334639578383,0.13523437730570778,0.3125,0.9583333333333334
att_pi_corr,\quad corrected,0.5422746634798097,0.15909926741847974,0.19117647058823525,0.9509803921568627
att_y,Growth attention,0.8126440313609756,0.09400228836688232,0.5,1.0
att_fs,Financial stability attention,0.6935921224748037,0.218089431105881,0.125,1.0
att_unc,Uncertainty attention,0.5600525103261431,0.15349988893930422,0.14285714285714285,0.8666666666666667
out_pi,Inflation outlook,-0.07623954109942142,0.3728691301499846,-0.8333333333333334,0.9166666666666666
out_y,Growth outlook,0.14720684191957095,0.3519541421352474,-0.7692307692307693,0.9285714285714286
polar_pi,Inflation polarisation,0.3827951200958347,0.3310767895801945,0.0,1.0
polar_y,Growth polarisation,0.5245728117035188,0.2951711401312099,0.0,1.0
